Time,bitfinex,bitstamp,btcchina,coinbase,huobi,kraken,lakebtc,mtgox,okcoin,others
2014-10-23 00:00:00 UTC,34871.12050179,21056.12056541,66892.2074000002,,98562.1482000023,2245.08889042,19978.88226,,120834.358000002,26992.620689149993
2014-10-24 00:00:00 UTC,16557.42980175,15641.82451721,50725.2888,,75129.0873000011,1128.24027145,22137.8478,,100127.671000002,24140.029363269998
2014-10-25 00:00:00 UTC,28960.2522612301,11095.76913905,52034.2040000001,,86946.826500001,1526.80093748,19578.43086,,162644.681000001,19066.852355739997
2014-10-26 00:00:00 UTC,16080.90282028,7916.88437019,48274.6550000001,,54289.9541000013,671.88154292,17555.35576,,108279.531000005,14353.06184777
2014-10-27 00:00:00 UTC,15239.16435526,9540.67167766,81987.7823000014,,82504.9615000016,971.03729365,10154.21482,,100758.383000004,32110.01682816999
2014-10-28 00:00:00 UTC,5062.40764434,7003.9364508,55793.3349000003,,82230.072000001,900.33206235,10071.19468,,82374.9610000032,34275.77844288001
2014-10-29 00:00:00 UTC,26472.2248620501,13252.75448124,80266.5383000009,,72661.0939000009,1740.0855545,10180.36102,,109838.053000003,33321.4054358
2014-10-30 00:00:00 UTC,56553.9504852301,14123.26518683,90916.6511000013,,83048.4580000016,1969.96514892,11659.18569,,107103.894000002,30461.793265469976
2014-10-31 00:00:00 UTC,19727.11155728,7510.39224528,56115.4267000002,,63606.5985000009,989.49394212,13428.86334,,104752.679000002,27878.566413630004
2014-11-01 00:00:00 UTC,24974.99409268,14960.3938556,70789.5478000004,,73845.8615000008,1424.72426669,12124.33486,,104408.483000002,15496.004340889998
2014-11-02 00:00:00 UTC,10099.46113173,8360.9458615,63732.7459000006,,36516.6930999999,959.67401455,8166.29607,,92070.4910000013,14223.41496083
2014-11-03 00:00:00 UTC,15218.51054951,11272.76248027,90841.9067000012,,64324.5821000007,1240.05870584,11612.73761,,101384.598000002,23302.651653759996
2014-11-04 00:00:00 UTC,18823.36977493,13706.58796895,64621.6093000003,,153981.618900002,1902.92231928,6769.87137,,175218.059000002,25015.32204950001
2014-11-05 00:00:00 UTC,26963.24964242,15024.04024897,78663.0136000003,,113921.092500002,1766.47092811,6965.87413,,173171.702000004,27947.178469009996
2014-11-06 00:00:00 UTC,24873.44579781,14288.87908945,73673.5582000002,,120432.7042,2136.57599336,14854.4331,,160681.944000003,30126.19264435999
2014-11-07 00:00:00 UTC,18854.39388798,7243.12542476,82144.1382000002,,159977.970200001,1287.89563307,12860.7515,,206173.407000004,18987.352802480003
2014-11-08 00:00:00 UTC,7334.53186932,3770.8061267,70370.7886000002,,56135.1596000003,901.60775316,8718.4669,,102114.464000001,12385.596890769999
2014-11-09 00:00:00 UTC,37906.6380311,10537.38584138,83015.5385000003,,72297.0357000004,1328.74876563,19368.2177,,145551.476000003,20223.805776669997
2014-11-10 00:00:00 UTC,33065.33656924,19271.7139033,105306.566500001,,162007.132000002,2209.73533551,21738.5942,,207795.660000005,33324.48076163999
2014-11-11 00:00:00 UTC,9279.61672218,7703.47251496,98129.6912000004,,64244.1071999999,1229.88055985,5840.6765,,152068.326000015,28747.196546279985
2014-11-12 00:00:00 UTC,103874.4285632,44037.2152956,378422.2954,,210683.124200003,4252.28506061,27406.83051,,454865.047999992,60937.3353682201
2014-11-13 00:00:00 UTC,144950.77991595,49885.92247312,580575.9065,,231711.335300009,5970.31792267,26564.09583,,650807.987999966,60800.94784340992
2014-11-14 00:00:00 UTC,59088.7994460901,21655.79674378,564770.7945,,171316.729700006,2806.44975303,15242.23974,,434349.610999998,32264.598370860003
2014-11-15 00:00:00 UTC,43985.64143382,14432.76907096,187590.885400001,,110582.633400003,1669.6534477,4954.02947,,226297.759000007,20237.47846498999
2014-11-16 00:00:00 UTC,24666.25625622,9680.49225548,202394.668100001,,94695.8419000021,1164.132579,14267.7217,,173325.631000006,17381.5309452
2014-11-17 00:00:00 UTC,47132.7426813101,24309.43918879,305148.719600002,,136149.830300006,3116.34913142,30030.39854,,262672.589000012,31250.75573262
