Time,50BTC.com,AntPool,BTC Guild,BTC.TOP,BTCC Pool,BW.COM,BitFury,BitMinter,Eligius,F2Pool,SlushPool,Unknown,ViaBTC,ghash.io,others
2009-07-18 00:00:00 UTC,,,,,,,,,,,,168153.131939551,,,
2009-07-19 00:00:00 UTC,,,,,,,,,,,,3101731.27464433,,,
2009-07-20 00:00:00 UTC,,,,,,,,,,,,3483549.16540177,,,
2009-07-21 00:00:00 UTC,,,,,,,,,,,,4066593.36380117,,,
2009-07-22 00:00:00 UTC,,,,,,,,,,,,3367237.29939502,,,
2009-07-23 00:00:00 UTC,,,,,,,,,,,,3391703.1847049,,,
2009-07-24 00:00:00 UTC,,,,,,,,,,,,3710576.85607773,,,
2009-07-25 00:00:00 UTC,,,,,,,,,,,,2454135.55473814,,,
2009-07-26 00:00:00 UTC,,,,,,,,,,,,760716.174385358,,,
2009-07-27 00:00:00 UTC,,,,,,,,,,,,3674179.85392414,,,
2009-07-28 00:00:00 UTC,,,,,,,,,,,,2089363.666022,,,
2009-07-29 00:00:00 UTC,,,,,,,,,,,,1032026.23715095,,,
2009-07-30 00:00:00 UTC,,,,,,,,,,,,673494.981444118,,,
2009-07-31 00:00:00 UTC,,,,,,,,,,,,858115.153102119,,,
2009-08-01 00:00:00 UTC,,,,,,,,,,,,1423841.58709937,,,
2009-08-02 00:00:00 UTC,,,,,,,,,,,,1114304.94645294,,,
2009-08-03 00:00:00 UTC,,,,,,,,,,,,610984.619192698,,,
2009-08-04 00:00:00 UTC,,,,,,,,,,,,3884678.14165597,,,
2009-08-05 00:00:00 UTC,,,,,,,,,,,,4320542.9236515,,,
2009-08-06 00:00:00 UTC,,,,,,,,,,,,4472423.10613336,,,
2009-08-07 00:00:00 UTC,,,,,,,,,,,,3988593.46079285,,,
2009-08-08 00:00:00 UTC,,,,,,,,,,,,4030373.28954159,,,
2009-08-09 00:00:00 UTC,,,,,,,,,,,,4945298.53503272,,,
2009-08-10 00:00:00 UTC,,,,,,,,,,,,3750495.38002981,,,
2009-08-11 00:00:00 UTC,,,,,,,,,,,,3464561.41787089,,,
2009-08-12 00:00:00 UTC,,,,,,,,,,,,3162086.91785769,,,
2009-08-13 00:00:00 UTC,,,,,,,,,,,,4194785.93772262,,,
2009-08-14 00:00:00 UTC,,,,,,,,,,,,3184190.30617697,,,
2009-08-15 00:00:00 UTC,,,,,,,,,,,,1299264.08637781,,,
2009-08-16 00:00:00 UTC,,,,,,,,,,,,1190470.59905468,,,
2009-08-17 00:00:00 UTC,,,,,,,,,,,,750698.567086838,,,
2009-08-18 00:00:00 UTC,,,,,,,,,,,,454503.512878579,,,
2009-08-19 00:00:00 UTC,,,,,,,,,,,,887685.424762605,,,
2009-08-20 00:00:00 UTC,,,,,,,,,,,,1148847.74535241,,,
2009-08-21 00:00:00 UTC,,,,,,,,,,,,686112.669663844,,,
2009-08-22 00:00:00 UTC,,,,,,,,,,,,337741.904040801,,,
2009-08-23 00:00:00 UTC,,,,,,,,,,,,748130.494925332,,,
2009-08-24 00:00:00 UTC,,,,,,,,,,,,736987.615997071,,,
2009-08-25 00:00:00 UTC,,,,,,,,,,,,2882489.69544033,,,
2009-08-26 00:00:00 UTC,,,,,,,,,,,,2112798.53865705,,,
2009-08-27 00:00:00 UTC,,,,,,,,,,,,1456925.8937666,,,
2009-08-28 00:00:00 UTC,,,,,,,,,,,,3668195.03729431,,,
2009-08-29 00:00:00 UTC,,,,,,,,,,,,3881579.11974695,,,
2009-08-30 00:00:00 UTC,,,,,,,,,,,,4799122.54016818,,,
2009-08-31 00:00:00 UTC,,,,,,,,,,,,4294068.5374689,,,
2009-09-01 00:00:00 UTC,,,,,,,,,,,,4102617.64561519,,,
2009-09-02 00:00:00 UTC,,,,,,,,,,,,3144750.84907921,,,
2009-09-03 00:00:00 UTC,,,,,,,,,,,,2991914.82014914,,,
2009-09-04 00:00:00 UTC,,,,,,,,,,,,3205311.6007323,,,
2009-09-05 00:00:00 UTC,,,,,,,,,,,,3758405.46339666,,,
2009-09-06 00:00:00 UTC,,,,,,,,,,,,3457041.45413224,,,
2009-09-07 00:00:00 UTC,,,,,,,,,,,,3777541.03432412,,,
2009-09-08 00:00:00 UTC,,,,,,,,,,,,3461781.67000362,,,
2009-09-09 00:00:00 UTC,,,,,,,,,,,,2673031.30239956,,,
2009-09-10 00:00:00 UTC,,,,,,,,,,,,3313102.24776642,,,
2009-09-11 00:00:00 UTC,,,,,,,,,,,,3333172.81725412,,,
2009-09-12 00:00:00 UTC,,,,,,,,,,,,3441320.35189744,,,
2009-09-13 00:00:00 UTC,,,,,,,,,,,,3761751.55259194,,,
2009-09-14 00:00:00 UTC,,,,,,,,,,,,3733876.64360902,,,
2009-09-15 00:00:00 UTC,,,,,,,,,,,,2316935.91564906,,,
2009-09-16 00:00:00 UTC,,,,,,,,,,,,3388645.75114238,,,
2009-09-17 00:00:00 UTC,,,,,,,,,,,,4162126.1044981,,,
2009-09-18 00:00:00 UTC,,,,,,,,,,,,3841520.16567477,,,
2009-09-19 00:00:00 UTC,,,,,,,,,,,,3626016.29060375,,,
