Date,market_dominance
2015-08-03,84.83
2015-08-04,86.13
2015-08-05,86.07
2015-08-06,86.3
2015-08-07,86.15
2015-08-08,84.02
2015-08-09,85.59
2015-08-10,84.89
2015-08-11,84.62
2015-08-12,84.58
2015-08-13,84.07
2015-08-14,83.88
2015-08-15,83.91
2015-08-16,84.15
2015-08-17,84.2
2015-08-18,84.06
2015-08-19,83.63
2015-08-20,83.14
2015-08-21,83.4
2015-08-22,82.39
2015-08-23,83.71
2015-08-24,82.28
2015-08-25,84.32
2015-08-26,84.32
2015-08-27,84.29
2015-08-28,84.5
2015-08-29,84.3
2015-08-30,83.86
2015-08-31,84.03
2015-09-01,83.95
2015-09-02,84.3
2015-09-03,84.61
2015-09-04,84.74
2015-09-05,84.17
2015-09-06,84.28
2015-09-07,84.36
2015-09-08,84.62
2015-09-09,84.68
2015-09-10,84.79
2015-09-11,84.59
2015-09-12,84.61
2015-09-13,83.25
2015-09-14,85.21
2015-09-15,84.51
2015-09-16,85.07
2015-09-17,85.22
2015-09-18,85.01
2015-09-19,85.12
2015-09-20,84.89
2015-09-21,85.04
2015-09-22,85.28
2015-09-23,85.63
2015-09-24,85.85
2015-09-25,86.09
2015-09-26,86.08
2015-09-27,86.13
2015-09-28,86.62
2015-09-29,87.03
2015-09-30,86.91
2015-10-01,87.11
2015-10-02,86.85
2015-10-03,87.14
2015-10-04,87.42
2015-10-05,87.76
2015-10-06,87.58
2015-10-07,87.41
2015-10-08,87.47
2015-10-09,87.4
2015-10-10,87.84
2015-10-11,87.86
2015-10-12,87.81
2015-10-13,87.92
2015-10-14,87.98
2015-10-15,88.23
2015-10-16,88.59
2015-10-17,89.09
2015-10-18,89.05
2015-10-19,89.08
2015-10-20,89.54
2015-10-21,89.55
2015-10-22,89.52
2015-10-23,89.7
2015-10-24,89.81
2015-10-25,89.86
2015-10-26,89.76
2015-10-27,89.82
2015-10-28,89.83
2015-10-29,89.2
2015-10-30,89.45
2015-10-31,89.71
